Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable,Vehicle_Age,Price_per_km
Mazda,6,2018,Saudi,Red,Standard,2.5,Gas,Automatic,68263,Riyadh,66500,False,7,0.974173
Nissan,Armada,2006,Saudi,Black,Full,5.6,Gas,Automatic,184000,Jeddah,30000,False,19,0.163043
Chevrolet,Tahoe,2010,Saudi,Silver,Full,5.8,Gas,Automatic,340000,Tabouk,40000,False,15,0.117647
Toyota,Ciocca,2013,Saudi,White,Standard,5.7,Gas,Automatic,114000,Al-Medina,89000,False,12,0.780702
Toyota,Yaris,2016,Saudi,White,Standard,1.4,Gas,Automatic,128000,Dammam,25000,False,9,0.195312
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,555555,Riyadh,73000,False,8,0.1314
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,237000,Dammam,21000,False,9,0.088608
Toyota,Ciocca,2015,Saudi,Silver,Semi Full,5.7,Gas,Automatic,85000,Dammam,125000,False,10,1.470588
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,84000,Dammam,72000,False,12,0.857143
Kia,Sportage,2016,Other,White,Standard,2.0,Diesel,Automatic,55000,Riyadh,68000,False,9,1.236364
Gmc,Yukon,2008,Saudi,Black,Semi Full,1.6,Gas,Automatic,250000,Riyadh,22000,False,17,0.088
Cadillac,Ct-S,2011,Saudi,Another Color,Full,3.0,Gas,Automatic,101000,Yanbu,40000,False,14,0.39604
Toyota,Previa,2004,Other,Another Color,Semi Full,1.0,Gas,Automatic,300,Dammam,12000,False,21,40.0
Mazda,6,2020,Saudi,White,Standard,2.5,Gas,Automatic,78000,Riyadh,76000,False,5,0.974359
Chevrolet,Lumina,2008,Saudi,Black,Semi Full,3.6,Gas,Automatic,205000,Dammam,12000,False,17,0.058537
Chrysler,C300,2005,Saudi,Black,Full,5.7,Gas,Automatic,275000,Dammam,18000,False,20,0.065455
Toyota,Camry,2017,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,119550,Riyadh,66500,False,8,0.556253
Toyota,Furniture,2015,Saudi,Black,Standard,2.7,Gas,Automatic,164277,Riyadh,66500,False,10,0.404804
Ford,Expedition,2013,Saudi,Grey,Full,5.4,Gas,Manual,225299,Riyadh,66587,False,12,0.295549
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,49515,Riyadh,68000,False,6,1.373321
Nissan,Bus Urvan,2010,Gulf Arabic,White,Full,2.7,Gas,Manual,2012,Dammam,14500,False,15,7.206759
Chevrolet,Suburban,2016,Saudi,Golden,Full,6.2,Gas,Automatic,156000,Dammam,290000,False,9,1.858974
Ford,Expedition,2013,Other,Grey,Standard,5.4,Gas,Automatic,121000,Riyadh,40000,False,12,0.330579
Mitsubishi,Pajero,2016,Gulf Arabic,Another Color,Full,3.8,Gas,Automatic,132000,Aseer,63000,False,9,0.477273
Chevrolet,Malibu,2013,Saudi,White,Full,3.6,Gas,Automatic,177000,Dammam,30000,False,12,0.169492
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,102000,Dammam,48000,False,6,0.470588
Chevrolet,Impala,2018,Saudi,Black,Standard,3.6,Gas,Automatic,52000,Riyadh,75000,False,7,1.442308
Mercedes,S,2018,Saudi,White,Full,4.5,Gas,Automatic,83000,Jeddah,315000,False,7,3.795181
Chevrolet,Camaro,2017,Other,Red,Full,6.2,Gas,Automatic,116000,Dammam,129000,False,8,1.112069
Ford,Taurus,2018,Saudi,Another Color,Standard,3.5,Gas,Automatic,63000,Jeddah,80000,False,7,1.269841
Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,92000,Dammam,108000,False,9,1.173913
Ford,Taurus,2017,Saudi,Silver,Standard,3.5,Gas,Automatic,132000,Dammam,65000,False,8,0.492424
Chevrolet,Impala,2014,Saudi,White,Semi Full,3.6,Gas,Automatic,181000,Riyadh,60000,False,11,0.331492
Ford,Taurus,2015,Saudi,White,Semi Full,2.5,Gas,Automatic,172000,Jeddah,52000,False,10,0.302326
Toyota,Furniture,2015,Saudi,White,Standard,2.7,Gas,Automatic,250000,Makkah,55000,False,10,0.22
Nissan,Sentra,2018,Gulf Arabic,White,Standard,1.6,Gas,Automatic,97000,Al-Ahsa,39000,False,7,0.402062
Mercedes,Ml,2013,Gulf Arabic,Another Color,Full,5.5,Gas,Automatic,140000,Riyadh,120000,False,12,0.857143
Gmc,Suburban,2005,Saudi,Black,Semi Full,5.3,Gas,Automatic,260000,Al-Medina,20000,False,20,0.076923
Gmc,Sierra,2016,Saudi,Silver,Full,5.7,Gas,Automatic,109000,Dammam,100000,False,9,0.917431
Honda,Accord,2016,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,106214,Riyadh,67500,False,9,0.635509
Toyota,Rav4,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,235614,Riyadh,67500,False,8,0.286486
Nissan,Altima,2018,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,48096,Riyadh,68000,False,7,1.413839
Hyundai,Accent,2008,Saudi,White,Standard,1.6,Gas,Manual,250000,Qassim,4000,False,17,0.016
Lincoln,Mkx,2016,Other,White,Full,3.7,Gas,Automatic,99000,Dammam,100000,False,9,1.010101
Fiat,500,2019,Saudi,Black,Full,1.4,Gas,Automatic,19000,Dammam,70000,False,6,3.684211
Chevrolet,Malibu,2013,Saudi,Silver,Full,3.6,Gas,Automatic,165000,Dammam,30000,False,12,0.181818
Chevrolet,Malibu,2016,Saudi,Silver,Semi Full,2.5,Gas,Automatic,203000,Dammam,32000,False,9,0.157635
Changan,Cs35,2019,Saudi,Grey,Full,1.6,Gas,Automatic,150000,Dammam,40000,False,6,0.266667
Chevrolet,Camaro,2017,Other,Yellow,Full,3.6,Gas,Automatic,118000,Dammam,113000,False,8,0.957627
Porsche,Macan,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,93000,Jeddah,138000,False,10,1.483871
Mazda,Cx9,2015,Saudi,Silver,Full,3.7,Gas,Automatic,260000,Dammam,63000,False,10,0.242308
Toyota,Hiace,2016,Saudi,White,Standard,2.4,Gas,Manual,307000,Riyadh,60000,False,9,0.19544
Toyota,Camry,2018,Saudi,Silver,Standard,2.5,Gas,Automatic,109000,Qassim,80000,False,7,0.733945
Hyundai,Senta Fe,2014,Saudi,Black,Full,1.4,Gas,Automatic,265000,Qassim,52000,False,11,0.196226
Nissan,Patrol,2020,Saudi,Grey,Full,4.0,Gas,Automatic,26000,Riyadh,235000,False,5,9.038462
Lexus,Es,2007,Saudi,Another Color,Full,3.5,Gas,Automatic,250000,Al-Namas,25000,False,18,0.1
Hyundai,Accent,2015,Saudi,White,Standard,1.4,Gas,Automatic,500000,Jeddah,22000,False,10,0.044
Volkswagen,Passat,2014,Saudi,Brown,Standard,2.5,Gas,Automatic,88673,Jeddah,50000,False,11,0.563869
Isuzu,D-Max,2018,Saudi,White,Standard,2.5,Diesel,Manual,203957,Riyadh,68500,False,7,0.335855
Mazda,Cx9,2015,Saudi,White,Full,3.7,Gas,Automatic,217162,Riyadh,68500,False,10,0.315433
Kia,Sorento,2016,Saudi,White,Full,3.5,Gas,Automatic,93914,Riyadh,68500,False,9,0.729391
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,192692,Riyadh,68500,False,8,0.35549
Chevrolet,Tahoe,2007,Saudi,Bronze,Semi Full,5.5,Gas,Automatic,450,Jeddah,27500,False,18,61.111111
Ford,Explorer,2014,Saudi,Black,Standard,3.6,Gas,Automatic,158000,Riyadh,55000,False,11,0.348101
Lexus,Lx,2015,Saudi,White,Full,5.7,Gas,Automatic,105000,Jeddah,213000,False,10,2.028571
Kia,Cadenza,2016,Other,Another Color,Full,3.0,Gas,Automatic,33212,Qassim,66000,False,9,1.987234
Lexus,Es,2017,Other,White,Full,3.5,Gas,Automatic,69000,Dammam,142000,False,8,2.057971
Lexus,Gs,2017,Saudi,Bronze,Full,3.5,Gas,Automatic,80000,Dammam,175000,False,8,2.1875
Rolls-Royce,Ghost,2016,Saudi,Red,Full,6.0,Gas,Automatic,40000,Dammam,620000,False,9,15.5
Isuzu,D-Max,2014,Saudi,White,Standard,2.5,Diesel,Manual,288000,Dammam,42000,False,11,0.145833
Chevrolet,Suburban,2019,Saudi,Grey,Standard,5.3,Gas,Automatic,37000,Riyadh,148000,False,6,4.0
Lexus,Lx,2018,Saudi,Navy,Full,5.7,Gas,Automatic,95000,Jeddah,355000,False,7,3.736842
Toyota,Yaris,2019,Saudi,Silver,Semi Full,1.5,Gas,Automatic,42628,Dammam,38500,False,6,0.903162
Mercedes,Cls,2016,Gulf Arabic,Black,Full,3.0,Gas,Automatic,45000,Dammam,168000,False,9,3.733333
Chevrolet,Camaro,2018,Other,Blue,Full,3.6,Gas,Automatic,79000,Dammam,113000,False,7,1.43038
Kia,Stinger,2020,Saudi,Grey,Full,3.3,Gas,Automatic,7000,Dammam,160000,False,5,22.857143
Ford,Taurus,2015,Saudi,White,Standard,2.5,Gas,Automatic,247000,Qassim,55000,False,10,0.222672
Cadillac,Ct-S,2013,Saudi,Blue,Semi Full,3.8,Gas,Automatic,137000,Al-Medina,45000,False,12,0.328467
Toyota,Land Cruiser,2015,Saudi,White,Full,4.6,Gas,Automatic,264000,Jeddah,140000,False,10,0.530303
Nissan,Sentra,2014,Saudi,Silver,Semi Full,1.4,Gas,Automatic,165000,Riyadh,18500,False,11,0.112121
Mitsubishi,Pajero,2018,Gulf Arabic,Golden,Semi Full,3.5,Gas,Automatic,108000,Riyadh,77000,False,7,0.712963
Audi,A8,2013,Other,Black,Full,4.0,Gas,Automatic,100000,Riyadh,108000,False,12,1.08
Toyota,Camry,2016,Saudi,Grey,Semi Full,2.4,Gas,Automatic,77000,Riyadh,63000,False,9,0.818182
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,143594,Riyadh,69000,False,8,0.480521
Mazda,6,2019,Saudi,Grey,Standard,2.5,Gas,Automatic,64970,Riyadh,69500,False,6,1.069724
Isuzu,D-Max,2018,Saudi,White,Standard,2.5,Diesel,Manual,52849,Riyadh,69500,False,7,1.315067
Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.4,Gas,Automatic,84795,Riyadh,69500,False,7,0.819624
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,69000,Riyadh,34000,False,8,0.492754
Toyota,Land Cruiser,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,35000,Riyadh,210000,False,5,6.0
Chevrolet,Caprice,2015,Saudi,Black,Full,6.0,Gas,Automatic,172000,Riyadh,108000,False,10,0.627907
Honda,Accord,2016,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,80000,Riyadh,69000,False,9,0.8625
Toyota,Prado,2020,Saudi,White,Semi Full,2.7,Gas,Automatic,5000,Riyadh,153000,False,5,30.6
Lexus,Is,2018,Saudi,Black,Semi Full,3.5,Gas,Automatic,131,Riyadh,166000,False,7,1267.175573
Honda,Accord,2017,Gulf Arabic,Blue,Full,2.5,Gas,Automatic,75000,Riyadh,90000,False,8,1.2
Ford,Expedition,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,90000,Riyadh,97000,False,8,1.077778
Lexus,Es,2018,Gulf Arabic,Brown,Full,2.4,Gas,Automatic,20000,Riyadh,126000,False,7,6.3
Ford,Edge,2017,Gulf Arabic,Blue,Standard,3.5,Gas,Automatic,82000,Riyadh,80000,False,8,0.97561
Lexus,Rx,2016,Saudi,Golden,Full,3.5,Gas,Automatic,104000,Riyadh,148000,False,9,1.423077
Ford,Flex,2015,Saudi,Grey,Semi Full,3.5,Gas,Automatic,167000,Riyadh,53000,False,10,0.317365
Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,40000,Riyadh,59000,False,8,1.475
Ford,Explorer,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,94000,Riyadh,82000,False,8,0.87234
Ford,Expedition,2016,Saudi,White,Standard,3.5,Gas,Automatic,103000,Riyadh,83000,False,9,0.805825
Toyota,Hiace,2016,Other,White,Standard,2.7,Gas,Manual,99999,Riyadh,69000,False,9,0.690007
Chevrolet,Impala,2019,Gulf Arabic,White,Standard,3.5,Gas,Automatic,16000,Riyadh,95000,False,6,5.9375
Mercedes,C,2017,Other,Black,Full,2.0,Gas,Automatic,86000,Jeddah,105000,False,8,1.22093
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,65000,Jeddah,57000,False,7,0.876923
Honda,Civic,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,122,Jeddah,43000,False,8,352.459016
Mercedes,Viano,2013,Saudi,Black,Semi Full,3.5,Gas,Automatic,154000,Jeddah,45000,False,12,0.292208
Hyundai,Senta Fe,2016,Saudi,Brown,Standard,3.3,Gas,Automatic,134000,Riyadh,48000,False,9,0.358209
Toyota,Prado,2013,Saudi,White,Semi Full,4.0,Gas,Manual,186000,Riyadh,55000,False,12,0.295699
Mazda,Cx9,2014,Saudi,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,42000,False,11,0.341463
Ford,Taurus,2015,Saudi,Black,Semi Full,3.5,Gas,Automatic,154706,Riyadh,69500,False,10,0.449239
Nissan,X-Trail,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,30507,Riyadh,69500,False,7,2.278166
Audi,A3,2016,Saudi,Red,Semi Full,1.4,Gas,Automatic,70278,Riyadh,69500,False,9,0.98893
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,57482,Riyadh,69500,False,8,1.209074
Hyundai,Accent,2014,Other,Another Color,Standard,1.4,Gas,Manual,252000,Taef,20000,False,11,0.079365
Chevrolet,Tahoe,2015,Saudi,Black,Standard,5.3,Gas,Automatic,121000,Riyadh,92000,False,10,0.760331
Gmc,Yukon,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,170000,Arar,102000,False,10,0.6
Hyundai,Sonata,2017,Other,Black,Semi Full,1.7,Diesel,Automatic,82190,Qassim,63000,False,8,0.766517
Land Rover,Range Rover,2019,Other,White,Full,5.0,Gas,Automatic,36000,Riyadh,400000,False,6,11.111111
Kia,Cores,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,75000,Dammam,75000,False,10,1.0
Isuzu,D-Max,2010,Saudi,White,Standard,2.5,Diesel,Manual,380000,Dammam,29000,False,15,0.076316
Lexus,Is,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,54000,Jeddah,275000,False,7,5.092593
Geely,Emgrand,2014,Saudi,Silver,Full,1.6,Gas,Automatic,108800,Dammam,12000,False,11,0.110294
Audi,S8,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,42000,Dammam,229000,False,9,5.452381
Hyundai,Azera,2016,Other,White,Full,3.0,Gas,Automatic,111000,Dammam,86000,False,9,0.774775
Gmc,Yukon,2007,Saudi,Black,Full,5.3,Gas,Automatic,235000,Dammam,65000,False,18,0.276596
Hyundai,Elantra,2016,Other,White,Standard,1.6,Diesel,Automatic,55000,Riyadh,48000,False,9,0.872727
Hyundai,Senta Fe,2016,Saudi,White,Full,3.3,Gas,Automatic,157000,Al-Ahsa,69000,False,9,0.43949
Toyota,Rav4,2016,Saudi,Black,Standard,2.5,Gas,Automatic,231000,Jubail,52000,False,9,0.225108
Gmc,Yukon,2016,Saudi,Golden,Semi Full,5.5,Gas,Automatic,145000,Al-Medina,100000,False,9,0.689655
Toyota,Camry,2017,Saudi,Another Color,Full,2.5,Gas,Automatic,166,Riyadh,55000,False,8,331.325301
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,106377,Riyadh,69500,False,8,0.653337
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,133148,Riyadh,70000,False,8,0.525731
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,134007,Riyadh,70000,False,8,0.522361
Hyundai,Kona,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,30271,Riyadh,70000,False,5,2.312444
Hyundai,H1,2016,Saudi,White,Standard,2.4,Gas,Automatic,154000,Al-Ahsa,54000,False,9,0.350649
Chevrolet,Tahoe,2016,Saudi,Silver,Semi Full,5.3,Gas,Automatic,104000,Al-Ahsa,112000,False,9,1.076923
Ford,Edge,2017,Saudi,Black,Semi Full,3.5,Gas,Automatic,92000,Riyadh,81000,False,8,0.880435
Toyota,Land Cruiser,2018,Saudi,White,Full,5.7,Gas,Automatic,142000,Jeddah,245000,False,7,1.725352
Hyundai,Elantra,2016,Other,White,Full,1.6,Diesel,Automatic,101715,Qassim,52000,False,9,0.511232
Aston Martin,Vantage,2012,Saudi,Blue,Full,6.0,Gas,Manual,880,Dammam,550000,False,13,625.0
Nissan,Bus Urvan,2009,Saudi,White,Standard,2.5,Gas,Manual,173000,Dammam,25000,False,16,0.144509
Chevrolet,Caprice,2013,Saudi,Black,Full,5.7,Gas,Automatic,148316,Dammam,65000,False,12,0.438253
Mg,Rx8,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,19000,Jeddah,88000,False,5,4.631579
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,145000,Riyadh,38000,False,12,0.262069
Audi,A8,2018,Gulf Arabic,Red,Full,3.0,Gas,Automatic,44500,Dammam,310000,False,7,6.966292
Nissan,Z370,2020,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000,False,5,43.0
Gmc,Yukon,2019,Saudi,Another Color,Standard,5.3,Gas,Automatic,83000,Jeddah,165000,False,6,1.987952
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Automatic,2500,Dammam,105000,False,9,42.0
Chevrolet,Tahoe,2012,Saudi,White,Standard,5.3,Gas,Automatic,61000,Jeddah,80000,False,13,1.311475
Toyota,Land Cruiser,2020,Saudi,Black,Full,4.6,Gas,Automatic,18000,Riyadh,285000,False,5,15.833333
Toyota,Hilux,1995,Saudi,White,Full,2.7,Gas,Manual,900000,Jeddah,14000,False,30,0.015556
Toyota,Yaris,2016,Saudi,White,Standard,1.5,Gas,Automatic,119000,Dammam,32000,False,9,0.268908
Hyundai,Tucson,2018,Saudi,Blue,Standard,2.0,Gas,Automatic,17002,Jeddah,70500,False,7,4.146571
Honda,Accord,2017,Saudi,Black,Full,2.4,Gas,Automatic,139806,Riyadh,71500,False,8,0.511423
Toyota,Hilux,2016,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,122084,Riyadh,71500,False,9,0.585662
Hyundai,Sonata,2018,Saudi,Navy,Semi Full,2.4,Gas,Automatic,65325,Riyadh,71500,False,7,1.094527
Lexus,Es,2016,Saudi,Bronze,Semi Full,3.4,Gas,Automatic,154000,Dammam,88000,False,9,0.571429
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,102000,Dammam,72000,False,9,0.705882
Dodge,Charger,2015,Other,Blue,Full,5.7,Gas,Automatic,119000,Dammam,105000,False,10,0.882353
Ford,Taurus,2018,Other,Black,Semi Full,3.5,Gas,Automatic,107000,Dammam,77000,False,7,0.719626
Mercedes,S,2006,Saudi,White,Full,3.0,Gas,Automatic,435000,Dammam,39000,False,19,0.089655
Toyota,Avalon,2015,Other,White,Semi Full,3.5,Gas,Automatic,80000,Dammam,86000,False,10,1.075
Lexus,Es,2016,Other,Another Color,Full,3.5,Gas,Automatic,87000,Dammam,119000,False,9,1.367816
Gmc,Acadia,2014,Saudi,Black,Full,3.6,Gas,Automatic,193000,Dammam,58000,False,11,0.300518
Gmc,Yukon,2014,Saudi,White,Full,5.3,Gas,Automatic,327000,Dammam,77000,False,11,0.235474
Lexus,Rc,2015,Other,White,Full,3.3,Gas,Automatic,139000,Dammam,121000,False,10,0.870504
Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,41000,Dammam,123000,False,6,3.0
Ford,Mustang,2016,Gulf Arabic,Yellow,Full,5.0,Gas,Manual,50000,Dammam,127000,False,9,2.54
Gmc,Yukon,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,292000,Dammam,74000,False,12,0.253425
Porsche,Panamera,2011,Saudi,Brown,Full,3.0,Gas,Automatic,113000,Dammam,99000,False,14,0.876106
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,179000,False,9,1.570175
Chevrolet,Camaro,2018,Other,Silver,Full,3.6,Gas,Automatic,89000,Dammam,109000,False,7,1.224719
Ford,Marquis,2010,Other,Silver,Full,5.0,Gas,Automatic,270000,Riyadh,19000,False,15,0.07037
Mazda,Cx9,2016,Other,White,Full,2.5,Gas,Automatic,104000,Dammam,105000,False,9,1.009615
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,175000,False,9,1.535088
Mercedes,S,2013,Saudi,White,Full,3.0,Gas,Automatic,110000,Dammam,113000,False,12,1.027273
Chevrolet,Caprice,2015,Saudi,Silver,Standard,6.0,Gas,Automatic,147374,Riyadh,71500,False,10,0.48516
Audi,A6,2013,Saudi,Grey,Semi Full,3.0,Gas,Automatic,74924,Riyadh,71500,False,12,0.9543
Lincoln,Mkz,2013,Saudi,Black,Semi Full,3.7,Gas,Automatic,98100,Riyadh,71500,False,12,0.728848
Hyundai,Sonata,2018,Saudi,Silver,Full,2.4,Gas,Automatic,84315,Riyadh,72500,False,7,0.859871
Chevrolet,Traverse,2016,Other,White,Full,3.5,Gas,Automatic,154000,Dammam,85000,False,9,0.551948
Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,129000,Dammam,74000,False,9,0.573643
Ford,Fusion,2015,Saudi,Black,Semi Full,2.5,Gas,Automatic,157000,Dammam,47000,False,10,0.299363
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,77000,Dammam,139000,False,7,1.805195
Ford,Taurus,2015,Other,White,Full,3.5,Gas,Automatic,96000,Dammam,85000,False,10,0.885417
Ford,Taurus,2018,Other,Bronze,Full,3.5,Gas,Automatic,59000,Dammam,91000,False,7,1.542373
Ford,Taurus,2018,Other,Black,Semi Full,3.5,Gas,Automatic,100000,Dammam,89000,False,7,0.89
Chrysler,S300,2018,Other,Silver,Full,3.6,Gas,Automatic,105000,Dammam,119000,False,7,1.133333
Chevrolet,Malibu,2016,Saudi,Black,Standard,2.5,Gas,Automatic,170,Riyadh,20000,False,9,117.647059
Infiniti,Qx,2019,Saudi,Grey,Full,3.7,Gas,Automatic,19800,Riyadh,130000,False,6,6.565657
Hyundai,Elantra,2015,Saudi,Silver,Full,2.0,Gas,Automatic,270000,Jeddah,27000,False,10,0.1
Nissan,Armada,2006,Saudi,Navy,Semi Full,5.6,Gas,Automatic,100000,Jeddah,12000,False,19,0.12
Toyota,Land Cruiser 70,2019,Saudi,White,Full,4.0,Gas,Manual,89000,Riyadh,90000,False,6,1.011236
Chevrolet,Blazer,2015,Saudi,Silver,Standard,3.6,Gas,Automatic,180000,Jubail,40000,False,10,0.222222
Mitsubishi,Pajero,2016,Saudi,Brown,Semi Full,3.5,Gas,Automatic,122000,Riyadh,50000,False,9,0.409836
Mercedes,S,2003,Gulf Arabic,White,Full,3.0,Gas,Automatic,440000,Tabouk,16000,False,22,0.036364
Lexus,Lx,2015,Saudi,Grey,Full,5.7,Gas,Automatic,97000,Taef,192000,False,10,1.979381
Kia,Cadenza,2018,Saudi,Navy,Full,3.3,Gas,Automatic,148884,Riyadh,65000,False,7,0.436581
Kia,Cadenza,2018,Saudi,White,Standard,3.3,Gas,Automatic,155652,Riyadh,72500,False,7,0.465783
Chevrolet,Impala,2018,Saudi,Silver,Standard,3.6,Gas,Automatic,63118,Riyadh,73500,False,7,1.164486
Ford,Taurus,2018,Saudi,Blue,Standard,3.5,Gas,Automatic,81165,Riyadh,74000,False,7,0.911723
Hyundai,Senta Fe,2018,Saudi,Brown,Semi Full,3.3,Gas,Automatic,143405,Riyadh,74500,False,7,0.519508
Hyundai,Azera,2019,Saudi,White,Standard,3.0,Gas,Automatic,56000,Riyadh,77000,False,6,1.375
Chevrolet,Spark,2020,Saudi,White,Standard,1.4,Gas,Automatic,16000,Riyadh,27000,False,5,1.6875
Volkswagen,Cc,2012,Saudi,Black,Full,2.0,Gas,Automatic,210000,Al-Ahsa,27000,False,13,0.128571
Chevrolet,Silverado,2018,Saudi,White,Semi Full,8.0,Gas,Automatic,97000,Dammam,83000,False,7,0.85567
Hyundai,Elantra,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,70000,Aseer,57000,False,7,0.814286
Kia,Carnival,2019,Saudi,Navy,Semi Full,3.3,Gas,Automatic,100,Riyadh,2487,False,6,24.87
Hyundai,Elantra,2021,Saudi,Silver,Full,1.7,Gas,Automatic,2600,Makkah,95000,False,4,36.538462
Ford,Marquis,2001,Saudi,White,Standard,4.6,Gas,Automatic,350000,Aseer,6000,False,24,0.017143
Mercedes,E,2017,Other,Red,Semi Full,2.0,Gas,Automatic,33000,Dammam,185000,False,8,5.606061
Nissan,Patrol,2015,Saudi,White,Full,4.8,Gas,Automatic,130000,Dammam,82000,False,10,0.630769
Nissan,Sunny,2020,Saudi,Grey,Full,1.5,Gas,Automatic,1300,Dammam,43000,False,5,33.076923
Toyota,C-Hr,2020,Saudi,Silver,Full,2.0,Gas,Automatic,11000,Dammam,90000,False,5,8.181818
Toyota,Camry,2017,Saudi,White,Full,2.5,Gas,Automatic,95794,Riyadh,74500,False,8,0.777711
Ford,Taurus,2018,Saudi,Blue,Standard,3.5,Gas,Automatic,91355,Riyadh,74500,False,7,0.8155
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,79159,Riyadh,75000,False,12,0.94746
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,124628,Riyadh,75000,False,12,0.601791
Nissan,Datsun,2013,Saudi,White,Standard,2.4,Gas,Manual,340,Qassim,26000,False,12,76.470588
Mercedes,C,2020,Other,White,Full,3.0,Gas,Automatic,33000,Jeddah,235000,False,5,7.121212
Gmc,Yukon,2012,Saudi,Another Color,Semi Full,1.5,Gas,Automatic,65000,Makkah,80000,False,13,1.230769
Hyundai,Elantra,2016,Saudi,Grey,Full,2.0,Gas,Automatic,97000,Al-Medina,42000,False,9,0.43299
Nissan,Sunny,2007,Other,Grey,Semi Full,2.8,Gas,Manual,300020,Abha,15000,False,18,0.049997
Toyota,Hilux,2007,Saudi,White,Full,2.7,Diesel,Manual,445250,Wadi Dawasir,50000,False,18,0.112296
Toyota,Innova,2020,Saudi,Silver,Standard,2.7,Gas,Automatic,24552,Riyadh,76500,False,5,3.115836
Toyota,Hilux,2018,Saudi,White,Semi Full,2.7,Gas,Manual,105558,Riyadh,76500,False,7,0.72472
Dodge,Charger,2017,Saudi,Black,Standard,3.6,Gas,Automatic,122178,Riyadh,76500,False,8,0.626136
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,92132,Riyadh,76500,False,12,0.83033
Gmc,Yukon,2011,Saudi,Brown,Standard,5.3,Gas,Automatic,293,Abha,47000,False,14,160.409556
Mitsubishi,Pajero,2016,Saudi,White,Full,3.8,Gas,Automatic,200,Riyadh,56000,False,9,280.0
Jeep,Grand Cherokee,2014,Saudi,Silver,Semi Full,3.6,Gas,Automatic,245000,Al-Namas,55000,False,11,0.22449
Gmc,Terrain,2013,Saudi,Grey,Semi Full,2.4,Gas,Automatic,240000,Jeddah,30000,False,12,0.125
Mercedes,E,2014,Saudi,Grey,Semi Full,3.5,Gas,Automatic,95000,Dammam,98000,False,11,1.031579
Kia,Mohave,2014,Saudi,White,Full,3.8,Gas,Automatic,200350,Al-Ahsa,40000,False,11,0.199651
Lexus,Lx,2014,Gulf Arabic,White,Full,5.7,Gas,Automatic,88000,Qassim,207000,False,11,2.352273
